province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
nepal,nepal,Total(Urban+Rural),Total(Male+Female),26725295,20377980,114331,6223061,9923,76.6775857853019
nepal,nepal,Total(Urban+Rural),Male,12963026,10830886,43921,2083529,4690,83.8909603359586
nepal,nepal,Total(Urban+Rural),Female,13762269,9547094,70410,4139532,5233,69.88312755694574
province-1,province - 1,Total(Urban+Rural),Total(Male+Female),4578440,3648225,11469,918528,218,79.93320869116992
province-1,province - 1,Total(Urban+Rural),Male,2218709,1910756,4793,303064,96,86.33619821256416
province-1,province - 1,Total(Urban+Rural),Female,2359731,1737469,6676,615464,122,73.91287396741409
province-1,taplejung,Total(Urban+Rural),Total(Male+Female),110370,90733,341,19295,1,82.51698831204132
province-1,taplejung,Total(Urban+Rural),Male,55530,48965,162,6403,0,88.469295876103
province-1,taplejung,Total(Urban+Rural),Female,54840,41768,179,12892,1,76.48978847556528
province-1,taplejung,Rural,Total(Male+Female),83122,67042,292,15787,1,81.00623180385458
province-1,taplejung,Rural,Male,41684,36208,140,5336,0,87.19892524709721
province-1,taplejung,Rural,Female,41438,30834,152,10451,1,74.77677494087553
province-1,taplejung,Urban,Total(Male+Female),27248,23691,49,3508,0,87.12566059894304
province-1,taplejung,Urban,Male,13846,12757,22,1067,0,92.29380326448072
province-1,taplejung,Urban,Female,13402,10934,27,2441,0,81.7863005521564
province-1,sankhuwasabha,Total(Urban+Rural),Total(Male+Female),146105,116449,279,29368,9,79.89322747339243
province-1,sankhuwasabha,Total(Urban+Rural),Male,73380,63403,130,9840,7,86.58081221041155
province-1,sankhuwasabha,Total(Urban+Rural),Female,72725,53046,149,19528,2,73.14541079408731
province-1,sankhuwasabha,Rural,Total(Male+Female),42986,32771,64,10145,6,76.38533476015446
province-1,sankhuwasabha,Rural,Male,21674,17931,37,3701,5,82.9011719110455
province-1,sankhuwasabha,Rural,Female,21312,14840,27,6444,1,69.75882132132132
province-1,sankhuwasabha,Urban,Total(Male+Female),103119,83678,215,19223,3,81.35552129093571
province-1,sankhuwasabha,Urban,Male,51706,45472,93,6139,2,88.12323521448188
province-1,sankhuwasabha,Urban,Female,51413,38206,122,13084,1,74.5492385194406
province-1,solukhumbu,Total(Urban+Rural),Total(Male+Female),96528,74274,487,21765,2,77.45006630200564
province-1,solukhumbu,Total(Urban+Rural),Male,48441,40842,213,7386,0,84.75258561961975
province-1,solukhumbu,Total(Urban+Rural),Female,48087,33432,274,14379,2,70.09378834196353
province-1,solukhumbu,Rural,Total(Male+Female),71065,53958,364,16742,1,76.43987898402871
province-1,solukhumbu,Rural,Male,35375,29361,166,5848,0,83.46855123674911
province-1,solukhumbu,Rural,Female,35690,24597,198,10894,1,69.473241804427
province-1,solukhumbu,Urban,Total(Male+Female),25463,20316,123,5023,1,80.26941051722106
province-1,solukhumbu,Urban,Male,13066,11481,47,1538,0,88.22899127506506
province-1,solukhumbu,Urban,Female,12397,8835,76,3485,1,71.88029361942405
province-1,okhaldhunga,Total(Urban+Rural),Total(Male+Female),129593,95752,339,33498,4,74.14829504680037
province-1,okhaldhunga,Total(Urban+Rural),Male,62954,51373,129,11450,2,81.80893986085078
